,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement,city,age,age_since_reno
24,2014-05-02 ,382500.0,4.0,1.75,1560,8700,1.0,4,1560,0,Kirkland,53,0
25,2014-05-02 ,499950.0,4.0,2.5,2860,3345,2.0,3,2190,670,Woodinville,16,17
26,2014-05-02 ,625000.0,4.0,2.5,2820,8408,2.0,3,2820,0,Shoreline,6,0
27,2014-05-02 ,440000.0,2.0,1.0,800,4850,1.0,4,800,0,Seattle,76,0
28,2014-05-02 ,287200.0,3.0,3.0,1850,19966,1.0,4,1090,760,Maple Valley,28,0
29,2014-05-02 ,335000.0,3.0,2.25,1580,16215,1.0,4,1580,0,Fall City,42,20
30,2014-05-02 ,260000.0,4.0,2.0,1480,8625,1.0,4,1480,0,Renton,46,0
31,2014-05-02 ,308500.0,2.0,1.0,850,6174,1.0,4,850,0,Shoreline,70,37
32,2014-05-02 ,439950.0,3.0,2.5,1770,2875,2.0,3,1770,0,Seattle,30,11
33,2014-05-02 ,235000.0,2.0,1.0,1210,9400,1.0,2,1210,0,Seattle,71,0
34,2014-05-02 ,315000.0,3.0,1.0,1160,9180,1.0,3,1160,0,Woodinville,52,23
35,2014-05-02 ,407500.0,3.0,2.5,1930,10460,2.0,3,1930,0,Renton,24,0
36,2014-05-02 ,445700.0,3.0,2.5,1270,1180,3.0,3,1270,0,Seattle,19,0
37,2014-05-02 ,805000.0,3.0,2.0,2710,4500,1.5,4,1880,830,Seattle,91,0
38,2014-05-02 ,470000.0,5.0,2.5,2210,9655,1.0,3,1460,750,Bothell,44,0
39,2014-05-02 ,430000.0,4.0,1.5,1920,10000,1.0,4,1070,850,Bellevue,66,41
40,2014-05-02 ,385000.0,3.0,3.25,1320,1327,2.0,3,1040,280,Seattle,12,0
41,2014-05-02 ,295000.0,2.0,2.5,1630,1368,2.0,3,1280,350,Seattle,11,0
42,2014-05-02 ,300000.0,3.0,2.5,2540,5050,2.0,3,2540,0,Kent,14,0
43,2014-05-03 ,553000.0,2.0,1.0,900,5000,1.0,3,900,0,Seattle,76,0
44,2014-05-03 ,379880.0,3.0,2.5,1650,14054,1.0,4,1130,520,Issaquah,34,0
45,2014-05-03 ,310000.0,3.0,1.0,1010,9945,1.0,4,1010,0,Snoqualmie,47,0
46,2014-05-04 ,775000.0,2.0,2.5,2680,7392,1.0,3,2680,0,Redmond,16,17
47,2014-05-04 ,365000.0,3.0,2.5,2200,7350,1.0,5,1570,630,Renton,32,0
48,2014-05-04 ,783500.0,3.0,2.5,2850,7130,2.0,3,1990,860,Seattle,40,0
49,2014-05-04 ,628000.0,4.0,2.0,2280,6010,1.0,3,1140,1140,Seattle,120,15
50,2014-05-05 ,560000.0,3.0,2.5,1900,8744,2.0,3,1900,0,Sammamish,33,20
51,2014-05-05 ,531000.0,2.0,3.0,1270,1175,2.0,3,1110,160,Seattle,20,0
52,2014-05-05 ,831000.0,4.0,3.0,2170,4000,2.0,4,1610,560,Seattle,38,9
53,2014-05-05 ,755000.0,4.0,2.5,2120,10202,1.0,4,1620,500,Bellevue,60,19
54,2014-05-05 ,705380.0,3.0,2.5,2490,4343,2.0,3,2490,0,Issaquah,17,0
55,2014-05-05 ,627000.0,4.0,2.25,1990,7712,1.0,3,1210,780,Issaquah,47,7
56,2014-05-05 ,865000.0,4.0,3.0,3690,9892,2.0,3,3690,0,Sammamish,22,14
57,2014-05-05 ,580000.0,2.0,1.0,2540,7000,1.0,5,1320,1220,Seattle,78,0
58,2014-05-05 ,485000.0,4.0,3.0,2340,7048,1.0,4,1340,1000,Kirkland,41,0
59,2014-05-05 ,400000.0,2.0,1.75,2110,9519,1.0,2,2110,0,Shoreline,72,0
60,2014-05-05 ,549000.0,2.0,1.0,1140,5400,1.0,5,1140,0,Seattle,112,0
61,2014-05-05 ,620000.0,3.0,1.75,1480,2185,2.5,3,1480,0,Kirkland,15,0
62,2014-05-05 ,405000.0,2.0,3.0,1410,1240,2.0,3,1140,270,Seattle,14,0
63,2014-05-05 ,800866.0,5.0,2.5,3180,13806,2.0,4,3180,0,Kirkland,30,0
64,2014-05-05 ,770000.0,3.0,2.0,2350,5700,1.5,4,1810,540,Seattle,81,31
65,2014-05-05 ,524000.0,3.0,1.75,1560,5520,1.0,4,780,780,Seattle,76,0
66,2014-05-05 ,541125.0,5.0,2.75,2740,8426,1.0,4,1370,1370,Bellevue,60,19
67,2014-05-05 ,670000.0,3.0,2.5,1680,2000,3.0,3,1680,0,Seattle,111,22
68,2014-05-05 ,384900.0,5.0,2.5,3090,12750,1.0,3,1750,1340,Federal Way,52,23
69,2014-05-05 ,406100.0,3.0,2.25,1410,1332,3.0,3,1410,0,Seattle,15,0
70,2014-05-05 ,570000.0,3.0,2.25,2010,6000,1.0,3,1330,680,Redmond,45,0
71,2014-05-05 ,787000.0,3.0,1.75,1330,7500,1.0,3,1330,0,Bellevue,59,16
72,2014-05-05 ,328000.0,4.0,2.5,2370,6500,2.0,3,2370,0,Auburn,22,14
73,2014-05-05 ,499000.0,4.0,2.5,2910,6479,2.0,3,2910,0,Snoqualmie,14,0
74,2014-05-05 ,501000.0,4.0,1.0,2070,7519,1.0,3,1160,910,Bellevue,57,12
75,2014-05-05 ,400000.0,2.0,1.0,840,5510,1.0,3,840,0,Seattle,65,15
76,2014-05-05 ,220000.0,4.0,1.5,1240,9600,1.0,3,1240,0,Federal Way,49,0
77,2014-05-05 ,657100.0,4.0,1.0,1390,4240,1.0,3,1050,340,Seattle,96,9
78,2014-05-05 ,309950.0,4.0,2.75,2310,5000,2.0,3,2310,0,Maple Valley,14,0
79,2014-05-05 ,300000.0,3.0,2.0,1050,10072,1.0,3,1050,0,Duvall,34,0
80,2014-05-05 ,740000.0,4.0,1.75,2010,3600,1.5,3,2010,0,Seattle,118,0
81,2014-05-05 ,340000.0,5.0,1.0,1120,9022,1.5,4,1120,0,Kirkland,58,0
82,2014-05-05 ,398750.0,3.0,2.5,2230,4000,2.0,3,2230,0,Seattle,66,15
83,2014-05-05 ,206000.0,2.0,1.0,810,7158,1.0,5,810,0,Burien,76,0
84,2014-05-05 ,379950.0,4.0,1.75,1970,9389,1.0,5,1140,830,Shoreline,60,0
85,2014-05-05 ,287000.0,3.0,1.0,1450,6000,1.0,4,1450,0,Seattle,67,37
86,2014-05-05 ,309950.0,3.0,2.5,1880,7838,2.0,3,1880,0,Renton,26,0
87,2014-05-05 ,600000.0,3.0,1.75,1880,6360,1.0,4,1040,840,Seattle,75,0
88,2014-05-05 ,418000.0,3.0,2.0,1410,6030,1.5,4,1410,0,Seattle,90,0
89,2014-05-05 ,329950.0,2.0,1.0,1140,5250,1.5,4,1140,0,Seattle,71,35
90,2014-05-05 ,245000.0,3.0,1.75,1920,9306,1.0,3,1000,920,Auburn,36,0
91,2014-05-05 ,549000.0,4.0,2.5,2910,6338,2.0,3,2910,0,Renton,12,0
92,2014-05-05 ,800000.0,3.0,2.5,3240,7857,2.0,3,3240,0,Sammamish,26,0
93,2014-05-05 ,210000.0,5.0,2.0,2050,10200,1.0,3,1430,620,Des Moines,64,19
94,2014-05-05 ,585000.0,2.0,1.0,1770,8640,1.5,3,1520,250,Seattle,71,22
95,2014-05-05 ,615000.0,4.0,1.75,2300,11700,1.0,4,1960,340,Redmond,43,0
96,2014-05-05 ,618500.0,3.0,2.0,1800,5000,1.0,4,1080,720,Seattle,78,38
97,2014-05-05 ,487585.0,4.0,1.75,2010,9211,1.0,3,1470,540,Kirkland,43,16
98,2014-05-05 ,509900.0,3.0,2.5,1790,2700,2.0,3,1790,0,Issaquah,10,0
99,2014-05-05 ,631625.0,4.0,2.5,2440,6651,2.0,3,2440,0,Seattle,6,0
100,2014-05-05 ,555000.0,3.0,2.5,1940,3211,2.0,3,1940,0,Issaquah,11,0
101,2014-05-05 ,340000.0,2.0,1.5,1160,1438,2.0,3,1160,0,Seattle,19,0
102,2014-05-05 ,830000.0,4.0,2.5,3400,9692,2.0,3,3400,0,Redmond,13,0
103,2014-05-05 ,366750.0,3.0,3.0,1571,2017,3.0,3,1571,0,Seattle,12,0
104,2014-05-05 ,415000.0,3.0,2.25,1620,998,2.5,3,1540,80,Issaquah,10,0
105,2014-05-05 ,416286.0,3.0,2.5,1408,989,3.0,3,1408,0,Seattle,15,0
106,2014-05-05 ,478000.0,3.0,2.5,3040,4535,2.0,3,3040,0,Renton,13,0
107,2014-05-05 ,419190.0,2.0,2.5,1590,1426,2.0,3,1590,0,Issaquah,6,0
108,2014-05-06 ,397000.0,4.0,2.0,1440,7680,1.0,3,1200,240,Kirkland,49,0
109,2014-05-06 ,450000.0,2.0,2.0,1100,3000,1.5,3,1100,0,Seattle,108,15
110,2014-05-06 ,353000.0,3.0,1.0,1350,7740,1.0,4,860,490,Seattle,73,32
111,2014-05-06 ,234000.0,3.0,1.75,1490,8366,1.0,4,1010,480,Covington,45,0
112,2014-05-06 ,561000.0,3.0,2.0,2000,7000,2.0,3,2000,0,Seattle,104,34
113,2014-05-06 ,469000.0,2.0,1.0,1030,4400,1.0,3,1030,0,Seattle,96,9
114,2014-05-06 ,329350.0,2.0,1.0,720,6687,1.0,3,720,0,Seattle,78,21
115,2014-05-06 ,488000.0,5.0,2.0,2020,5000,1.5,4,2020,0,Seattle,82,0
116,2014-05-06 ,606000.0,4.0,2.5,2110,13850,2.0,3,2110,0,Issaquah,33,20
117,2014-05-06 ,312000.0,4.0,2.0,1300,7054,1.0,3,1300,0,Seattle,70,7
118,2014-05-06 ,325000.0,4.0,2.5,1890,6156,1.0,3,980,910,Seattle,40,0
119,2014-05-06 ,425000.0,4.0,2.0,1520,7983,1.0,5,1520,0,Inglewood-Finn Hill,53,0
120,2014-05-06 ,219000.0,2.0,1.0,900,5160,1.0,3,900,0,Seattle,68,12
121,2014-05-06 ,250000.0,3.0,1.0,1050,6874,1.0,3,1050,0,Shoreline,66,15
122,2014-05-06 ,390000.0,3.0,1.75,1260,6500,1.0,4,1260,0,Bellevue,54,0
123,2014-05-06 ,736000.0,4.0,2.5,2290,12047,2.0,4,2290,0,Bellevue,32,0
124,2014-05-06 ,272000.0,3.0,2.5,1650,13816,2.0,3,1650,0,Carnation,22,14
125,2014-05-06 ,362000.0,3.0,2.25,1640,14374,1.0,4,1140,500,Burien,57,0
126,2014-05-06 ,535000.0,3.0,2.5,1850,10109,2.0,3,1850,0,Kirkland,29,0
127,2014-05-06 ,284000.0,4.0,2.5,2000,5390,2.0,3,2000,0,Kent,17,0
128,2014-05-06 ,367500.0,3.0,1.5,1410,9647,1.0,3,1410,0,Shoreline,59,16
129,2014-05-06 ,379900.0,4.0,1.75,1500,11600,1.0,4,1000,500,Kenmore,65,11
130,2014-05-06 ,175000.0,3.0,1.0,1010,7034,1.0,3,1010,0,Renton,66,15
131,2014-05-06 ,460000.0,2.0,2.25,1230,929,2.0,3,1020,210,Seattle,16,17
132,2014-05-06 ,345000.0,4.0,2.5,2331,3826,2.0,3,2331,0,Renton,13,0
133,2014-05-06 ,455000.0,5.0,2.5,2240,7770,1.0,3,1340,900,Kirkland,42,0
134,2014-05-06 ,610000.0,4.0,3.0,2450,10117,1.0,5,1580,870,Bellevue,53,0
135,2014-05-06 ,563000.0,4.0,3.0,3100,15480,2.0,3,2400,700,Kenmore,24,0
136,2014-05-06 ,612500.0,4.0,2.0,2060,5000,1.0,3,1030,1030,Seattle,71,7
137,2014-05-06 ,218000.0,3.0,1.75,1850,7684,1.0,3,1320,530,Federal Way,41,6
138,2014-05-06 ,404000.0,4.0,1.75,1840,10720,1.0,3,960,880,Bellevue,62,16
139,2014-05-06 ,136500.0,3.0,1.5,1420,8580,1.0,3,1420,0,Federal Way,58,17
140,2014-05-06 ,313950.0,3.0,1.0,1510,6083,1.0,4,860,650,Seattle,80,19
141,2014-05-06 ,280000.0,3.0,1.75,1630,11800,1.0,4,1630,0,North Bend,49,0
142,2014-05-06 ,515000.0,3.0,2.5,1790,7167,2.0,3,1790,0,Sammamish,31,0
143,2014-05-06 ,513000.0,4.0,2.5,2000,5684,2.0,3,2000,0,Kenmore,24,0
144,2014-05-06 ,685000.0,4.0,2.5,3030,7864,2.0,3,3030,0,Sammamish,21,0
145,2014-05-06 ,365000.0,3.0,1.5,1310,8160,1.0,3,1310,0,Seattle,70,15
146,2014-05-06 ,762300.0,4.0,2.5,3880,14550,2.0,3,3880,0,Sammamish,33,20
147,2014-05-06 ,562000.0,5.0,2.25,3040,8111,2.0,3,3040,0,Redmond,36,0
148,2014-05-06 ,530000.0,5.0,2.5,2910,9636,1.0,4,1690,1220,Bellevue,56,0
149,2014-05-06 ,525000.0,3.0,2.5,2970,11985,1.0,3,1770,1200,Sammamish,25,0
150,2014-05-06 ,484000.0,2.0,1.75,1660,6000,1.0,3,1160,500,Seattle,78,21
151,2014-05-06 ,725126.0,4.0,2.5,3200,12369,2.0,3,3200,0,Newcastle,22,14
152,2014-05-06 ,360000.0,4.0,2.0,2680,18768,1.0,5,2680,0,Auburn,55,0
153,2014-05-06 ,387000.0,3.0,1.0,1230,9568,1.0,5,1230,0,Newcastle,58,0
154,2014-05-06 ,655500.0,4.0,3.5,3380,8330,2.0,3,3380,0,Shoreline,20,0
155,2014-05-06 ,345000.0,3.0,1.0,1110,6250,1.0,3,1110,0,Seattle,64,19
156,2014-05-06 ,533000.0,5.0,2.75,1800,3780,1.5,3,1400,400,Seattle,94,17
157,2014-05-06 ,385000.0,3.0,1.75,1900,5520,1.0,3,1280,620,Seattle,38,0
158,2014-05-06 ,197000.0,3.0,1.75,1690,7735,1.0,4,1060,630,Auburn,44,28
159,2014-05-06 ,485000.0,3.0,2.0,1420,4080,1.5,3,1420,0,Seattle,115,7
160,2014-05-06 ,295000.0,3.0,2.25,1980,8000,1.0,4,1560,420,Federal Way,46,0
161,2014-05-06 ,499000.0,2.0,1.75,1170,2400,1.0,4,740,430,Seattle,117,0
162,2014-05-06 ,1050000.0,3.0,2.5,2200,1970,2.0,3,1610,590,Seattle,12,0
163,2014-05-06 ,191000.0,3.0,1.5,800,8850,1.0,4,800,0,Federal Way,61,0
164,2014-05-06 ,500000.0,3.0,2.5,1480,1171,3.0,3,1480,0,Seattle,14,0
165,2014-05-06 ,979000.0,3.0,2.5,2690,4047,3.0,3,2690,0,Seattle,6,0
166,2014-05-06 ,369950.0,3.0,2.0,1270,1320,3.0,3,1270,0,Seattle,14,0
167,2014-05-06 ,776000.0,4.0,2.5,3040,6425,2.0,3,3040,0,Redmond,12,0
168,2014-05-07 ,519950.0,3.0,2.25,1170,1249,3.0,3,1170,0,Seattle,6,0
169,2014-05-07 ,255000.0,5.0,2.25,2060,8632,1.0,3,1030,1030,Burien,58,17
170,2014-05-07 ,495000.0,3.0,1.0,990,6000,1.0,3,990,0,Seattle,77,18
171,2014-05-07 ,510000.0,4.0,2.5,2430,5203,2.0,3,2430,0,Shoreline,17,0
172,2014-05-07 ,253000.0,3.0,1.75,1250,10122,1.0,3,1250,0,Black Diamond,26,0
173,2014-05-07 ,503000.0,3.0,2.75,1540,6760,1.0,5,1210,330,Kirkland,40,0
174,2014-05-07 ,275000.0,3.0,2.5,1600,7000,2.0,4,1600,0,Maple Valley,27,0
175,2014-05-07 ,249000.0,3.0,1.0,1110,8423,1.0,3,1110,0,Burien,68,12
176,2014-05-07 ,310000.0,3.0,1.75,1840,10723,1.0,4,1220,620,Renton,46,0
177,2014-05-07 ,750000.0,3.0,2.75,2520,5401,1.0,4,1360,1160,Seattle,74,31
178,2014-05-07 ,758000.0,4.0,2.75,2410,9549,1.0,4,1780,630,Kirkland,64,0
179,2014-05-07 ,248500.0,4.0,1.75,1720,10018,1.0,5,1720,0,Covington,60,0
180,2014-05-07 ,460000.0,3.0,2.0,1760,9055,2.0,4,1760,0,Redmond,35,0
181,2014-05-07 ,675000.0,3.0,1.75,1680,10500,1.0,4,1680,0,Bellevue,61,0
182,2014-05-07 ,415000.0,4.0,3.0,1830,9548,2.0,3,1830,0,Bothell,29,0
183,2014-05-07 ,246000.0,3.0,1.0,1400,7410,1.0,3,1400,0,Burien,76,0
184,2014-05-07 ,314500.0,3.0,1.75,1870,12381,1.0,4,1870,0,Federal Way,63,19
185,2014-05-07 ,420000.0,2.0,1.5,1040,3500,1.5,4,1040,0,Seattle,116,0
186,2014-05-07 ,350000.0,3.0,1.0,1010,9360,1.0,3,1010,0,Kirkland,39,7
187,2014-05-07 ,749950.0,4.0,2.75,2600,6050,2.0,5,1960,640,Seattle,71,0
188,2014-05-07 ,230000.0,3.0,2.5,1920,9180,2.0,3,1920,0,Renton,32,20
189,2014-05-07 ,568000.0,3.0,2.0,2350,5080,1.5,3,1780,570,Seattle,91,0
190,2014-05-07 ,581000.0,4.0,2.0,2510,13695,1.0,4,1280,1230,Kirkland,59,19
191,2014-05-07 ,500000.0,2.0,1.0,1010,3885,1.5,4,1010,0,Seattle,114,30
192,2014-05-07 ,475000.0,2.0,1.0,820,2723,1.0,3,820,0,Seattle,99,20
193,2014-05-07 ,420000.0,3.0,2.25,1770,8165,2.0,3,1770,0,Kirkland,43,16
194,2014-05-07 ,428000.0,2.0,2.0,1350,3900,1.0,3,1350,0,Redmond,17,0
195,2014-05-07 ,599000.0,3.0,1.75,1960,4788,1.0,4,1090,870,Seattle,100,0
196,2014-05-07 ,630000.0,2.0,2.25,2550,5663,1.0,3,1720,830,Renton,9,0
197,2014-05-07 ,1110000.0,4.0,1.5,2310,13300,1.0,3,1890,420,Clyde Hill,70,15
198,2014-05-07 ,575000.0,4.0,2.0,1650,5000,1.0,3,1650,0,Seattle,65,15
199,2014-05-07 ,705000.0,4.0,2.5,2650,4316,1.5,3,1520,1130,Seattle,115,7
200,2014-05-07 ,313000.0,3.0,1.75,2190,8000,1.0,4,2190,0,Federal Way,53,0
201,2014-05-07 ,618080.0,3.0,2.5,2030,6500,2.0,3,2030,0,Issaquah,32,20
202,2014-05-07 ,640000.0,3.0,3.0,2270,5175,2.0,3,2130,140,Renton,18,0
203,2014-05-07 ,485000.0,3.0,2.0,1610,4160,1.0,4,1010,600,Seattle,103,0
204,2014-05-07 ,300000.0,2.0,1.0,760,3001,1.0,3,760,0,Seattle,107,37
205,2014-05-07 ,379500.0,2.0,1.0,1640,17335,1.0,3,840,800,Redmond,42,0
206,2014-05-07 ,339950.0,3.0,2.25,1630,12295,2.0,4,1630,0,Renton,35,0
207,2014-05-07 ,239900.0,3.0,2.0,1410,7566,1.0,3,1410,0,Kent,35,0
208,2014-05-07 ,314950.0,3.0,1.0,1040,16986,1.0,4,1040,0,Renton,52,0
209,2014-05-07 ,361280.0,2.0,1.0,820,6400,1.0,4,820,0,Seattle,76,0
210,2014-05-07 ,480500.0,4.0,2.5,2180,11200,1.0,4,2180,0,Woodinville,52,0
211,2014-05-07 ,280000.0,3.0,2.5,1600,4271,2.0,3,1600,0,Auburn,20,0
212,2014-05-07 ,440000.0,3.0,1.75,1500,6180,1.0,4,1060,440,Seattle,73,32
213,2014-05-07 ,530000.0,3.0,1.0,1340,4284,1.0,3,1080,260,Seattle,110,14
214,2014-05-07 ,560000.0,3.0,2.0,1860,13374,1.0,3,1860,0,Issaquah,35,0
215,2014-05-07 ,160000.0,2.0,1.0,1040,13100,1.0,5,1040,0,Kent,108,0
216,2014-05-07 ,209950.0,3.0,1.5,1380,11130,1.0,3,1380,0,Federal Way,60,8
217,2014-05-07 ,226500.0,3.0,1.75,1640,10762,1.0,3,1130,510,Covington,32,20
218,2014-05-07 ,380000.0,5.0,1.75,3000,6000,1.0,5,1500,1500,Seattle,62,0
219,2014-05-07 ,409500.0,4.0,2.75,2140,13000,1.0,3,1320,820,Kenmore,52,23
220,2014-05-07 ,690000.0,3.0,2.0,1760,6428,1.0,4,980,780,Seattle,78,38
221,2014-05-07 ,405000.0,3.0,2.25,1660,8307,1.0,4,1660,0,Shoreline,59,19
222,2014-05-07 ,375000.0,3.0,2.5,1830,13042,2.0,3,1830,0,Maple Valley,30,11
223,2014-05-07 ,185000.0,4.0,1.0,1490,6600,1.0,3,1490,0,Burien,51,10
224,2014-05-07 ,245000.0,3.0,1.5,1260,1270,2.0,3,1040,220,Seattle,15,0
225,2014-05-07 ,1040000.0,4.0,3.5,3900,8391,2.0,3,3900,0,Kirkland,14,0
226,2014-05-07 ,425000.0,2.0,2.5,1150,1027,3.0,3,1150,0,Seattle,12,0
227,2014-05-07 ,365000.0,5.0,2.75,2410,5003,1.0,3,1410,1000,Seattle,12,0
228,2014-05-07 ,417250.0,3.0,2.25,1606,1452,3.0,3,1606,0,Seattle,11,0
229,2014-05-07 ,339950.0,2.0,1.0,820,681,3.0,3,820,0,Seattle,14,0
230,2014-05-08 ,615000.0,2.0,1.0,1540,6872,1.0,4,820,720,Seattle,74,31
231,2014-05-08 ,980000.0,5.0,2.5,3160,11470,1.0,4,1780,1380,Mercer Island,49,0
232,2014-05-08 ,258000.0,4.0,1.75,1730,8320,1.0,3,1230,500,Federal Way,43,16
233,2014-05-08 ,533000.0,3.0,1.0,1670,4080,1.0,3,1170,500,Seattle,53,9
234,2014-05-08 ,537500.0,4.0,2.5,2550,4630,2.0,3,2550,0,Sammamish,15,0
235,2014-05-08 ,830000.0,5.0,3.0,3040,9601,1.0,5,1970,1070,Mercer Island,52,0
236,2014-05-08 ,262000.0,4.0,2.5,2020,6236,2.0,3,2020,0,Algona,18,0
237,2014-05-08 ,134000.0,2.0,1.5,980,5000,2.0,3,980,0,Skykomish,98,17
238,2014-05-08 ,402000.0,3.0,2.5,1960,8000,1.0,4,1290,670,Kirkland,43,0
239,2014-05-08 ,205000.0,2.0,1.0,720,5040,1.0,3,720,0,Seattle,65,15
240,2014-05-08 ,553650.0,2.0,2.5,1360,1349,2.0,3,1050,310,Seattle,23,0
241,2014-05-08 ,559950.0,2.0,2.0,1870,4950,1.0,3,1870,0,Redmond,14,0
242,2014-05-08 ,260000.0,4.0,1.5,2130,8800,1.0,3,1100,1030,Kent,58,17
243,2014-05-08 ,270000.0,4.0,2.5,1810,6509,2.0,3,1810,0,Kent,26,0
244,2014-05-08 ,266000.0,3.0,2.5,1940,8547,1.0,3,1460,480,Kent,31,0
245,2014-05-08 ,325900.0,4.0,2.5,2320,6270,2.0,3,2320,0,Kent,16,17
246,2014-05-08 ,1039000.0,4.0,1.0,3410,5000,2.0,5,2190,1220,Seattle,110,0
247,2014-05-08 ,246000.0,3.0,1.75,1390,7399,1.0,4,1390,0,Kent,45,0
248,2014-05-08 ,515000.0,2.0,1.0,1060,4960,1.0,3,1060,0,Seattle,94,17
249,2014-05-08 ,207000.0,3.0,1.0,1490,8995,1.0,4,1490,0,Seattle,66,41
250,2014-05-08 ,780000.0,4.0,1.75,2480,9195,1.0,3,1390,1090,Bellevue,70,15
251,2014-05-08 ,295000.0,3.0,2.5,1920,7229,2.0,3,1920,0,Federal Way,27,0
252,2014-05-08 ,385000.0,3.0,1.75,1890,9920,1.0,3,1230,660,Seattle,76,0
253,2014-05-08 ,350000.0,4.0,1.75,2250,13515,1.0,4,2150,100,Kent,80,19
254,2014-05-08 ,235000.0,2.0,1.0,1270,3008,1.0,4,650,620,Seattle,97,0
255,2014-05-08 ,358000.0,2.0,1.5,960,1808,2.0,3,960,0,Seattle,27,0
256,2014-05-08 ,716500.0,4.0,2.5,3290,6465,2.0,3,3290,0,Sammamish,18,0
257,2014-05-08 ,228000.0,4.0,1.75,2000,6120,1.0,3,1100,900,Seattle,55,27
258,2014-05-08 ,405000.0,2.0,1.0,1020,8155,1.0,4,1020,0,Seattle,72,0
259,2014-05-08 ,538000.0,4.0,1.75,1840,9600,1.0,3,1220,620,Redmond,53,9
260,2014-05-08 ,530000.0,3.0,1.75,1980,6760,1.0,4,1980,0,Bellevue,47,0
261,2014-05-08 ,636000.0,2.0,1.75,1230,3600,1.5,5,1230,0,Seattle,95,0
262,2014-05-08 ,868500.0,3.0,2.5,2920,3942,3.0,3,2920,0,Renton,12,0
263,2014-05-08 ,530000.0,4.0,2.75,2280,2850,1.5,4,1540,740,Seattle,90,0
264,2014-05-08 ,229000.0,3.0,2.5,1190,3000,2.0,3,1190,0,Tukwila,18,0
265,2014-05-08 ,437000.0,3.0,1.75,1310,9282,1.0,4,1310,0,Redmond,44,28
266,2014-05-08 ,595000.0,3.0,2.5,1750,3354,2.0,4,1750,0,Kirkland,29,0
267,2014-05-08 ,660000.0,3.0,1.75,1320,5750,1.5,5,1320,0,Seattle,102,0
268,2014-05-08 ,347500.0,4.0,2.5,2460,7350,2.0,3,2460,0,Federal Way,31,0
269,2014-05-08 ,297950.0,3.0,2.0,1240,10800,1.0,3,1240,0,Renton,53,10
270,2014-05-08 ,245000.0,3.0,1.5,1260,7964,1.0,4,1260,0,Des Moines,65,11
271,2014-05-08 ,413450.0,3.0,2.5,1540,1614,3.0,3,1470,70,Seattle,12,0
272,2014-05-08 ,424500.0,3.0,1.75,1460,7700,1.0,3,1460,0,Redmond,41,6
273,2014-05-08 ,230000.0,3.0,1.0,1390,16000,1.0,4,1390,0,Algona,60,19
274,2014-05-08 ,930000.0,3.0,3.25,2640,4080,2.0,3,1840,800,Seattle,108,20
275,2014-05-08 ,349000.0,3.0,1.75,1590,9620,1.0,3,1590,0,Renton,32,20
